number,sqrt1 (https://codebase64.org/doku.php?id=base:fast_sqrt),sqrt2 (http://www.6502.org/source/integers/root.htm),sqrt3 (http://www.txbobsc.com/aal/1986/aal8611.html#a1),sqrt5 (http://www.txbobsc.com/aal/1986/aal8609.html#a8),sqrt6 (https://www.bbcelite.com/master/main/subroutine/ll5.html),sqrt7 (http://6502org.wikidot.com/software-math-sqrt),sqrt9 (https://github.com/TobyLobster/sqrt_test/blob/main/sqrt/sqrt9.a),sqrt10 (https://github.com/TobyLobster/sqrt_test/blob/main/sqrt/sqrt10.a),sqrt11 (http://forum.6502.org/viewtopic.php?p=90611#p90611),sqrt12 (https://gitlab.riscosopen.org/RiscOS/Sources/Apps/Diversions/Meteors/-/blob/master/Srce6502/MetSrc2#L961),sqrt13 (https://stardot.org.uk/forums/viewtopic.php?p=367937#p367937),sqrt14 (https://stardot.org.uk/forums/viewtopic.php?p=367937#p367937),sqrt15 (https://stardot.org.uk/forums/viewtopic.php?p=367937#p367937)
94,289,798,78,706,505,489,77,213,220,1043,41,45,36
95,289,798,78,706,505,489,77,213,220,1043,41,45,36
96,289,798,78,706,511,489,77,213,220,1043,41,45,36
97,289,798,78,706,511,489,77,213,220,1043,41,45,36
98,289,798,78,706,511,489,77,213,220,1043,41,45,36
99,289,798,78,706,511,489,77,213,220,1043,41,45,36
100,301,798,78,706,508,489,77,218,158,1013,40,44,36
101,301,798,78,706,508,489,77,218,217,1029,40,44,36
102,301,798,78,706,508,489,77,218,217,1029,40,44,36
103,301,798,78,706,508,489,77,218,217,1029,40,44,36
104,301,798,78,706,508,489,77,218,217,1029,40,44,36
105,301,798,78,706,508,489,77,218,217,1029,40,44,36
106,301,798,78,706,508,489,77,218,217,1029,40,44,36
107,301,798,78,706,508,489,77,218,217,1029,40,44,36
108,301,798,78,706,508,489,77,218,217,1029,40,44,36
109,301,798,78,706,508,489,77,218,217,1029,40,44,36
110,301,798,78,706,508,489,77,218,217,1029,40,44,36
111,301,798,78,706,508,489,77,218,217,1043,40,44,36
112,301,798,78,706,505,489,77,218,217,1057,40,44,36
113,301,798,78,706,505,489,77,218,217,1057,40,44,36
114,301,798,78,706,505,489,77,218,217,1057,40,44,36
115,301,798,78,706,505,489,77,218,217,1057,40,44,36
116,301,798,78,706,505,489,77,218,217,1057,40,44,36
117,301,798,78,706,505,489,77,218,217,1057,40,44,36
118,301,798,78,706,505,489,77,218,217,1057,40,44,36
119,301,798,78,706,505,489,77,218,217,1057,40,44,36
120,301,798,78,706,511,489,77,218,217,1057,40,44,36
121,302,820,78,716,523,494,77,219,208,1080,40,44,36
122,302,820,78,716,523,494,77,219,223,1080,40,44,36
123,302,820,78,716,523,494,77,219,223,1080,40,44,36
124,302,820,78,716,520,494,77,219,223,1080,40,44,36
125,302,820,78,716,520,494,77,219,223,1080,40,44,36
126,302,820,78,716,520,494,77,219,223,1080,40,44,36
127,302,820,78,716,520,494,77,219,223,1080,40,44,36
128,302,820,78,716,526,494,77,219,223,1080,40,44,36
129,302,820,78,716,526,494,77,219,223,1080,40,44,36
130,302,820,78,716,526,494,77,219,223,1080,40,44,36
131,302,820,78,716,526,494,77,219,223,1080,40,44,36
132,302,820,78,716,526,494,77,219,223,1080,40,44,36
133,302,820,78,716,526,494,77,219,223,1080,40,44,36
134,302,820,78,716,526,494,77,219,223,1080,40,44,36
135,302,820,78,716,526,494,77,219,223,1080,40,44,36
136,302,820,78,716,526,494,77,219,223,1080,40,44,36
137,302,820,78,716,526,494,77,219,223,1080,40,44,36
138,302,820,78,716,526,494,77,219,223,1080,40,44,36
139,302,820,78,716,526,494,77,219,223,1080,40,44,36
140,302,820,78,716,526,494,77,219,223,1080,40,44,36
141,302,820,78,716,526,494,77,219,223,1080,40,44,36
142,302,820,78,716,526,494,77,219,223,1080,40,44,36
143,302,820,78,716,526,494,77,219,223,1080,40,44,36
144,301,798,78,706,508,489,77,222,111,997,40,44,36
145,301,798,78,706,508,489,77,222,215,1013,40,44,36
146,301,798,78,706,508,489,77,222,215,1013,40,44,36
147,301,798,78,706,508,489,77,222,215,1013,40,44,36
148,301,798,78,706,508,489,77,222,215,1029,40,44,36
149,301,798,78,706,508,489,77,222,215,1029,40,44,36
150,301,798,78,706,508,489,77,222,215,1029,40,44,36
151,301,798,78,706,508,489,77,222,215,1029,40,44,36
152,301,798,78,706,508,489,77,222,215,1029,40,44,36
153,301,798,78,706,508,489,77,222,215,1029,40,44,36
154,301,798,78,706,508,489,77,222,215,1029,40,44,36
155,301,798,78,706,508,489,77,222,215,1029,40,44,36
156,301,798,78,706,508,489,77,222,215,1029,40,44,36
157,301,798,78,706,508,489,77,222,215,1043,40,44,36
158,301,798,78,706,508,489,77,222,215,1043,40,44,36
159,301,798,78,706,508,489,77,222,215,1043,40,44,36
160,301,798,78,706,508,489,77,222,215,1043,40,44,36
161,301,798,78,706,508,489,77,222,215,1043,40,44,36
162,301,798,78,706,508,489,77,222,215,1043,40,44,36
163,301,798,78,706,508,489,77,222,215,1043,40,44,36
164,301,798,78,706,508,489,77,222,215,1043,40,44,36
165,301,798,78,706,508,489,77,222,215,1043,40,44,36
166,301,798,78,706,508,489,77,222,215,1043,40,44,36
167,301,798,78,706,508,489,77,222,215,1043,40,44,36
168,301,798,78,706,514,489,77,222,215,1043,40,44,36
169,302,820,78,716,526,494,77,223,206,1066,40,44,36
170,302,820,78,716,526,494,77,223,221,1066,40,44,36
171,302,820,78,716,526,494,77,223,221,1066,40,44,36
172,302,820,78,716,523,494,77,223,221,1080,40,44,36
173,302,820,78,716,523,494,77,223,221,1080,40,44,36
174,302,820,78,716,523,494,77,223,221,1080,40,44,36
175,302,820,78,716,523,494,77,223,221,1080,40,44,36
176,302,820,78,716,523,494,77,223,221,1080,40,44,36
177,302,820,78,716,523,494,77,223,221,1080,40,44,36
178,302,820,78,716,523,494,77,223,221,1080,40,44,36
179,302,820,78,716,523,494,77,223,221,1080,40,44,36
180,302,820,78,716,523,494,77,223,221,1080,40,44,36
181,302,820,78,716,523,494,77,223,221,1080,40,44,36
182,302,820,78,716,523,494,77,223,221,1080,40,44,36
183,302,820,78,716,523,494,77,223,221,1080,40,44,36
184,302,820,78,716,523,494,77,223,221,1080,40,44,36
185,302,820,78,716,523,494,77,223,221,1080,40,44,36
186,302,820,78,716,523,494,77,223,221,1080,40,44,36
187,302,820,78,716,523,494,77,223,221,1080,40,44,36
188,302,820,78,716,523,494,77,223,221,1080,40,44,36
189,302,820,78,716,523,494,77,223,221,1080,40,44,36
190,302,820,78,716,523,494,77,223,221,1080,40,44,36
191,302,820,78,716,523,494,77,223,221,1080,40,44,36
192,302,820,78,716,526,494,77,223,221,1080,40,44,36
193,302,820,78,716,526,494,77,223,221,1080,40,44,36
194,302,820,78,716,526,494,77,223,221,1080,40,44,36
195,302,820,78,716,526,494,77,223,221,1080,40,44,36
196,314,820,78,716,523,494,77,228,159,1050,39,43,36
197,314,820,78,716,523,494,77,228,216,1066,39,43,36
198,314,820,78,716,523,494,77,228,216,1066,39,43,36
199,314,820,78,716,523,494,77,228,216,1066,39,43,36
200,314,820,78,716,523,494,77,228,216,1066,39,43,36
201,314,820,78,716,523,494,77,228,216,1066,39,43,36
202,314,820,78,716,523,494,77,228,216,1066,39,43,36
203,314,820,78,716,523,494,77,228,216,1066,39,43,36
204,314,820,78,716,523,494,77,228,216,1066,39,43,36
205,314,820,78,716,523,494,77,228,216,1066,39,43,36
206,314,820,78,716,523,494,77,228,216,1066,39,43,36
207,314,820,78,716,523,494,77,228,216,1066,39,43,36
208,314,820,78,716,520,494,77,228,216,1066,39,43,36
209,314,820,78,716,520,494,77,228,216,1066,39,43,36
210,314,820,78,716,520,494,77,228,216,1066,39,43,36
211,314,820,78,716,520,494,77,228,216,1080,39,43,36
212,314,820,78,716,520,494,77,228,216,1080,39,43,36
213,314,820,78,716,520,494,77,228,216,1080,39,43,36
214,314,820,78,716,520,494,77,228,216,1080,39,43,36
215,314,820,78,716,520,494,77,228,216,1080,39,43,36
216,314,820,78,716,520,494,77,228,216,1080,39,43,36
217,314,820,78,716,520,494,77,228,216,1080,39,43,36
218,314,820,78,716,520,494,77,228,216,1080,39,43,36
219,314,820,78,716,520,494,77,228,216,1080,39,43,36
220,314,820,78,716,520,494,77,228,216,1080,39,43,36
221,314,820,78,716,520,494,77,228,216,1080,39,43,36
222,314,820,78,716,520,494,77,228,216,1080,39,43,36
223,314,820,78,716,520,494,77,228,216,1080,39,43,36
224,314,820,78,716,526,494,77,228,216,1080,39,43,36
225,315,842,87,726,538,499,86,229,207,1103,39,43,36
226,315,842,87,726,538,499,86,229,254,1103,39,43,36
227,315,842,87,726,538,499,86,229,254,1103,39,43,37
228,315,842,87,726,535,499,86,229,254,1103,39,43,37
229,315,842,87,726,535,499,86,229,254,1103,39,43,37
230,315,842,87,726,535,499,86,229,254,1103,39,43,37
231,315,842,87,726,535,499,86,229,254,1103,39,43,37
232,315,842,87,726,535,499,86,229,254,1103,39,43,37
